Player,POS,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PPG RATIO
Pascal Siakam,PF,TOR,0.7027453141854432,0.9548258896472804,0.7938802856626556,0.8967486568681697,1.9686884587061717,2.7860775616971494,2.7940698881289405,2.7793802033132256,0.15757023158223635,0.6772600407030244,0.9099001980398266,0.06805612581769702,3.4520344207286855,3.600453066839084,0.26424754535128975,1.6049195931280686,2.1427182169949153,2.066123457971243,2.5187415465750767,2.106718780689151,1.2016190516014824,0.5781082607361379,24.225352112676056
Lauri Markkanen,PF,UTA,-0.21960791068295105,0.7521068698863527,0.5853129045252606,0.7489097355757254,1.4973888350240585,2.7206616519129314,2.4288385449032304,2.277621184408861,0.32904776376997447,2.5180323837692327,2.3734988692520806,0.5584888451741329,3.2399874811680576,2.887410483275029,0.7351824457731668,1.5858099408920114,2.2572192718900084,2.145439911014362,0.12026788665247891,1.3149217343573214,0.36306215117451024,0.6539944557321304,25.62121212121212
Nikola Jokic,C,DEN,0.47215700796834464,0.8737382817429094,1.697672270591367,-0.21204325282516304,1.5601045952241817,2.7184059308858894,2.893115676122353,1.9154046145489052,1.5293904890841423,0.05793476640037479,0.004175459800853251,0.49357863231813365,3.14574439691889,3.039526234435361,0.48805819109634024,2.2928670736261294,3.86023404042131,3.54480876113225,4.679010630683444,3.57719900959112,2.003716956357717,0.9954823332140972,24.492753623188406
Jalen Green,SG,HOU,-1.1419611355513453,1.1575449094082082,-0.24895662002431912,2.3751378697926135,1.906842025875159,2.7026158836965957,2.397886736155289,2.915953664080094,-0.4200382978922501,2.2943871458266094,2.662280669850014,0.1690275680381395,3.4166932641352474,3.4958734879163558,0.3202002067875519,-0.07672980364496892,0.738171943615108,0.5251180845620709,1.4180721272955283,2.691140410124549,0.9828650775770549,-0.1048674942277955,22.144736842105264
Jordan Poole,SG,GSW,-0.6807845231171482,1.4008077331213216,1.4195824290748402,1.044587578160614,1.7278847774625308,2.6845701154802595,2.298840948161876,2.675465613599304,-0.2936864320697063,2.7588811015535963,3.20702815734157,0.1546030762923623,3.3813521075418094,3.039526234435361,0.7118688368413907,-0.2869359782415986,0.3717685679508104,0.1908558895946402,2.140899805628366,3.6714605627258616,1.1287010602600065,0.008961798266193406,20.426829268292682
Mikal Bridges,SF,BKN,0.010980395534147511,1.441351537073507,1.280537508316577,1.2663459600992806,2.3551665690879204,2.6755472313720916,2.565026503394173,2.642806742546357,0.049268632305769854,1.9847245086752847,1.9271997228734559,0.48636638644524527,2.8512347586402402,2.4500776986890753,0.8284368815002713,0.6112176768530919,1.074041704640714,0.9783549590941804,1.3523605201743611,1.3149217343573214,2.1495529390406682,1.5266856981860453,20.132530120481928
Stephen Curry,PG,GSW,2.0862751514880347,0.346668830364497,0.4462679837669973,0.15755405040594786,1.0859486101864193,2.6236656477501255,2.3545542039081706,2.2449623133559142,0.2748969641317412,3.7738864122162723,3.220154602823295,0.8109174507252394,2.1561920123026277,1.765556818467583,0.9216913172273756,-0.1531684125891979,1.2038095668551527,0.8480493576661988,2.0012626404958858,2.2952418869586344,0.7276521078818894,-0.02898129923180289,29.428571428571427
Jalen Brunson,PG,NYK,0.010980395534147511,0.8331944777907238,1.1414925875583137,0.30539297169839225,1.6292782158805548,2.589829832344496,2.5278843328966434,2.4290395865634324,0.25684669758566386,1.3826027142143753,1.139612993970001,0.731582746123463,2.9572582284205544,2.820859842142384,0.5206972436008269,-0.13405876035314065,0.4328357972281934,0.28150326450106206,2.5680252519159517,1.5977063937615463,1.0557830689185308,-0.2186967867217844,24.014705882352942
Kyrie Irving,PG,DAL,1.1639219266196403,0.5088440461732393,0.5853129045252606,0.30539297169839225,1.457772344917446,2.567272622074076,2.5712168651437612,2.4527914927837573,0.2839220974047802,2.3115906256683494,2.2816137508800107,0.4647296488265787,2.038388156991168,1.689498942887417,0.8750640993638235,0.229024632131947,0.7687055582537995,0.6384273031950982,1.8287696718028223,1.3337740449842699,1.2380780472722204,0.9195961382181046,27.05
Ja Morant,PG,MEM,-0.6807845231171482,0.5493878501254248,1.1414925875583137,-0.21204325282516304,1.094766073501684,2.506368154343942,2.397886736155289,2.4854503638367045,0.031218365759692536,0.6600565608612842,0.9952220936710342,-0.054552054021411826,3.510936348384415,3.8191194591320605,0.1430167789060536,0.2672439366040615,1.1580091448971155,0.9386967325726208,3.1594297160064553,2.804254273886239,1.2380780472722204,-0.1807536892237881,26.16393442622951
LeBron James,SF,LAL,2.77804007013933,0.3061250264123115,0.4462679837669973,0.0836345897597257,1.101720692454569,2.49283382818169,2.664072291387586,2.5002953052244075,0.3380728970430134,1.1589574762717518,1.500590244717418,0.04641938819903094,2.0855096991157516,2.2028896030535363,0.23627121463315803,0.3436825455482905,1.8908158962257107,1.5052428257377573,2.1901835109692414,2.276389576331686,0.6547341165404136,0.4263358707441527,28.90909090909091
CJ McCollum,SG,NOP,1.1639219266196403,1.1170011054560227,1.0024476668000504,0.9706681175143919,1.965211149229729,2.4432079655867662,2.5278843328966434,2.8714188399169847,-0.23051049915843408,2.7072706620283755,2.5900852197005304,0.5368521075554663,1.284443482997825,1.3567457372241916,0.24093393641951366,0.152586023187718,0.9824408607246397,0.7743983655547311,2.6337368590371186,2.3706511294664274,1.383914029955172,0.6539944557321304,20.906666666666666
