id,year,team,average_age,runs_per_game,wins,losses,win_loss_percentage,ERA,run_average_9,games,games_started,games_finished,complete_game,shutouts,saves,innings_pitched,hits,runs,earned_runs,home_runs,walks,intentional_walks,strikeouts,hit_batter,balks,wild_pitches,batters_faced,WHIP,strikeout_walk
273,1989,Haitai Tigers,24.3,3.68,65,51,0.56,3.34,3.69,120,0.0,0.0,30,12,20,1078.2,928,442,400,63,400,0.0,695,37,0.0,0.0,4479,1.231,1.74
274,1989,Binggre Eagles,24.5,3.97,71,46,0.607,3.47,3.98,120,0.0,0.0,26,6,26,1076.2,982,476,415,75,433,0.0,537,43,0.0,0.0,4539,1.314,1.24
275,1989,OB Bears,25.8,4.01,54,63,0.462,3.69,4.04,120,0.0,0.0,17,7,20,1072.1,969,481,440,60,527,0.0,543,32,0.0,0.0,4551,1.395,1.03
276,1989,Lotte Giants,24.6,4.35,48,67,0.417,3.91,4.37,120,0.0,0.0,37,5,11,1076.1,1072,522,467,68,390,0.0,508,50,0.0,0.0,4569,1.359,1.3
277,1989,MBC Blue Dragons,26.2,4.84,49,67,0.422,4.28,4.89,120,0.0,0.0,8,0,30,1069.8,1139,581,509,61,455,0.0,451,46,0.0,0.0,4693,1.49,0.99
278,1989,Samsung Lions,27.6,4.9,57,58,0.496,4.42,4.96,120,0.0,0.0,26,6,27,1067.2,1094,588,524,84,516,0.0,470,44,0.0,0.0,4688,1.508,0.91
279,1988,Haitai Tigers,25.2,3.37,68,38,0.642,2.86,3.38,108,0.0,0.0,26,7,23,968.2,849,364,308,58,297,0.0,501,37,0.0,0.0,3981,1.183,1.69
280,1988,Binggre Eagles,26.0,4.08,62,45,0.579,3.73,4.1,108,0.0,0.0,27,8,28,969.1,1015,441,402,72,298,0.0,394,39,0.0,0.0,4091,1.355,1.32
281,1988,Lotte Giants,26.7,4.1,57,49,0.538,3.59,4.13,108,0.0,0.0,30,7,18,966.1,961,443,385,55,329,0.0,476,31,0.0,0.0,4086,1.335,1.45
282,1988,OB Bears,28.3,4.14,54,52,0.509,3.73,4.15,108,0.0,0.0,17,5,19,969.1,933,447,402,69,381,0.0,388,35,0.0,0.0,4105,1.356,1.02
283,1988,MBC Blue Dragons,26.2,4.55,40,64,0.385,3.96,4.6,108,0.0,0.0,36,4,14,961.1,1038,491,423,69,373,0.0,347,46,0.0,0.0,4188,1.468,0.93
284,1988,Samsung Lions,27.6,4.56,56,50,0.528,4.18,4.58,108,0.0,0.0,22,9,21,967.0,953,492,449,80,403,0.0,341,40,0.0,0.0,4151,1.402,0.85
285,1988,Pacific Dolphins,25.4,5.04,34,73,0.318,4.61,5.18,108,0.0,0.0,20,3,11,945.0,1020,544,484,79,305,0.0,387,38,0.0,0.0,4053,1.402,1.27
286,1987,Haitai Tigers,23.9,3.71,55,48,0.534,3.15,3.68,108,0.0,0.0,26,8,14,982.0,864,401,344,52,372,0.0,494,32,0.0,0.0,4050,1.259,1.33
287,1987,Lotte Giants,27.0,3.74,54,49,0.524,3.36,3.73,108,0.0,0.0,51,12,9,975.2,971,404,364,40,331,0.0,504,34,0.0,0.0,4097,1.334,1.52
288,1987,OB Bears,28.2,3.75,55,52,0.514,3.26,3.79,108,0.0,0.0,38,8,21,960.2,906,405,348,38,407,0.0,383,32,0.0,0.0,4064,1.367,0.94
289,1987,MBC Blue Dragons,26.8,3.77,50,51,0.495,3.36,3.77,108,0.0,0.0,20,4,26,971.5,966,407,363,48,335,0.0,372,50,0.0,0.0,4118,1.339,1.11
290,1987,Samsung Lions,27.7,3.95,64,44,0.593,3.58,4.01,108,0.0,0.0,26,8,30,959.1,926,427,381,62,416,0.0,360,45,0.0,0.0,4078,1.399,0.87
291,1987,Binggre Eagles,26.3,4.2,47,57,0.452,3.78,4.28,108,0.0,0.0,51,6,7,955.1,970,454,401,75,281,0.0,364,37,0.0,0.0,4020,1.309,1.3
292,1987,Chungbo Pintos,26.6,4.85,41,65,0.387,4.36,4.93,108,0.0,0.0,42,5,9,956.1,1063,524,463,69,327,0.0,328,36,0.0,0.0,4140,1.454,1.0
293,1986,OB Bears,27.0,3.16,56,48,0.538,2.61,3.15,108,0.0,0.0,30,12,19,975.2,820,341,283,43,390,0.0,394,29,0.0,0.0,4003,1.24,1.01
294,1986,Lotte Giants,27.3,3.33,50,52,0.49,2.74,3.29,108,0.0,0.0,33,6,11,983.2,896,360,299,48,325,0.0,520,49,0.0,0.0,4097,1.241,1.6
295,1986,MBC Blue Dragons,25.9,3.34,59,41,0.59,2.78,3.3,108,0.0,0.0,11,3,30,984.5,880,361,304,45,341,0.0,415,32,0.0,0.0,4038,1.24,1.22
296,1986,Samsung Lions,28.2,3.42,70,37,0.654,2.95,3.44,108,0.0,0.0,34,7,33,966.2,848,369,317,62,385,0.0,388,29,0.0,0.0,4012,1.276,1.01
297,1986,Haitai Tigers,24.2,3.44,67,37,0.644,2.86,3.41,108,0.0,0.0,28,11,23,982.8,857,372,312,41,334,0.0,533,34,0.0,0.0,4058,1.212,1.6
298,1986,Binggre Eagles,26.3,4.32,31,76,0.29,3.65,4.4,108,0.0,0.0,42,8,3,955.9,932,467,388,90,284,0.0,407,47,0.0,0.0,3993,1.272,1.43
299,1986,Chungbo Pintos,26.7,4.69,32,74,0.302,3.99,4.73,108,0.0,0.0,24,6,10,962.2,1001,506,427,68,356,0.0,408,57,0.0,0.0,4163,1.41,1.15
300,1985,Samsung Lions,29.3,3.45,77,32,0.706,2.97,3.41,110,0.0,0.0,27,5,41,1001.5,871,379,331,62,368,0.0,496,34,0.0,0.0,4121,1.237,1.35
301,1985,MBC Blue Dragons,26.3,3.71,44,65,0.404,3.24,3.74,110,0.0,0.0,28,4,13,981.9,902,408,354,63,385,0.0,353,44,0.0,0.0,4124,1.311,0.92
302,1985,OB Bears,26.7,3.78,51,57,0.472,3.14,3.77,110,0.0,0.0,25,3,13,993.0,882,416,346,64,386,0.0,433,40,0.0,0.0,4112,1.277,1.12
303,1985,Lotte Giants,27.1,3.82,59,51,0.536,3.05,3.81,110,0.0,0.0,32,11,15,992.1,936,420,336,60,324,0.0,513,44,0.0,0.0,4131,1.27,1.58
304,1985,Haitai Tigers,24.4,4.23,57,52,0.523,3.64,4.23,110,0.0,0.0,11,2,20,988.8,979,465,400,83,296,0.0,450,51,0.0,0.0,4146,1.29,1.52
305,1985,Chungbo Pintos,28.7,5.52,39,70,0.358,4.88,5.58,110,0.0,0.0,38,3,15,978.1,1130,607,530,118,399,0.0,394,60,0.0,0.0,4359,1.563,0.99
306,1984,OB Bears,24.7,2.98,58,41,0.586,2.54,3.03,100,0.0,0.0,13,2,31,885.1,720,298,250,51,331,0.0,445,44,0.0,0.0,3601,1.187,1.34
307,1984,MBC Blue Dragons,26.0,3.74,51,48,0.515,3.19,3.75,100,0.0,0.0,39,6,10,897.1,876,374,318,59,275,0.0,356,43,0.0,0.0,3741,1.283,1.29
308,1984,Samsung Lions,28.3,3.79,55,45,0.55,3.35,3.85,100,0.0,0.0,30,6,13,886.2,806,379,330,48,380,0.0,476,44,0.0,0.0,3740,1.338,1.25
309,1984,Lotte Giants,26.1,3.9,50,48,0.51,3.31,3.99,100,0.0,0.0,26,1,11,880.2,865,390,324,75,300,0.0,454,40,0.0,0.0,3723,1.323,1.51
310,1984,Haitai Tigers,25.2,3.98,43,54,0.443,3.17,4.0,100,0.0,0.0,26,6,12,896.1,833,398,316,67,279,0.0,459,40,0.0,0.0,3749,1.241,1.65
311,1984,Sammi Superstars,27.2,4.61,38,59,0.392,4.05,4.61,100,0.0,0.0,24,2,18,899.1,895,461,405,83,372,0.0,461,50,0.0,0.0,3845,1.409,1.24
312,1983,MBC Blue Dragons,26.1,3.35,55,43,0.561,2.72,3.32,100,0.0,0.0,31,6,17,908.2,787,335,275,45,298,0.0,367,44,0.0,0.0,3725,1.194,1.23
313,1983,Sammi Superstars,28.6,3.72,52,47,0.525,3.05,3.68,100,0.0,0.0,56,7,8,909.0,848,372,308,66,263,0.0,392,36,0.0,0.0,3713,1.222,1.49
314,1983,Haitai Tigers,25.3,3.9,55,44,0.556,3.16,3.97,100,0.0,0.0,27,10,14,883.5,803,390,310,56,286,0.0,456,45,0.0,0.0,3707,1.232,1.59
315,1983,Samsung Lions,26.1,4.18,46,50,0.479,3.42,4.18,100,0.0,0.0,34,7,12,899.2,833,418,342,65,335,0.0,399,58,0.0,0.0,3785,1.299,1.19
316,1983,OB Bears,26.9,4.32,44,55,0.444,3.54,4.36,100,0.0,0.0,27,8,18,892.2,897,432,351,81,315,0.0,329,62,0.0,0.0,3789,1.358,1.04
317,1983,Lotte Giants,26.4,4.64,43,56,0.434,3.79,4.65,100,0.0,0.0,29,4,7,897.8,935,464,378,90,260,0.0,415,47,0.0,0.0,3827,1.331,1.6
318,1982,Samsung Lions,27.2,3.21,53,26,0.671,2.7,3.28,80,0.0,0.0,23,8,17,704.1,618,257,211,57,187,0.0,305,30,0.0,0.0,2830,1.143,1.63
319,1982,OB Bears,26.5,3.98,56,24,0.7,3.19,3.95,80,0.0,0.0,32,4,10,725.1,625,318,257,41,289,0.0,318,33,0.0,0.0,3020,1.26,1.1
320,1982,MBC Blue Dragons,25.9,4.38,46,33,0.582,3.51,4.45,80,0.0,0.0,19,8,15,708.1,660,350,276,52,259,0.0,394,47,0.0,0.0,2994,1.298,1.52
321,1982,Lotte Giants,26.3,4.81,31,49,0.388,3.95,4.86,80,0.0,0.0,26,4,4,713.2,763,385,313,69,261,0.0,363,29,0.0,0.0,3080,1.435,1.39
322,1982,Haitai Tigers,23.5,4.85,38,42,0.475,3.76,4.93,80,0.0,0.0,24,2,3,707.9,698,388,296,50,295,0.0,348,39,0.0,0.0,3067,1.403,1.18
323,1982,Sammi Superstars,24.3,7.18,15,65,0.188,6.23,7.47,80,0.0,0.0,7,0,5,692.0,883,574,479,93,313,0.0,175,50,0.0,0.0,3217,1.728,0.56
